state,region,year,month,date,consumption_mu,population_millions,per_capita_kwh
Andhra Pradesh,Southern,2019,1,2019-01-01,6654.4,53.0,125.55
Andhra Pradesh,Southern,2019,2,2019-02-01,6536.9,53.0,123.34
Andhra Pradesh,Southern,2019,3,2019-03-01,6946.6,53.0,131.07
Andhra Pradesh,Southern,2019,4,2019-04-01,7499.9,53.0,141.51
Andhra Pradesh,Southern,2019,5,2019-05-01,8034.3,53.0,151.59
Andhra Pradesh,Southern,2019,6,2019-06-01,7763.0,53.0,146.47
Andhra Pradesh,Southern,2019,7,2019-07-01,7408.8,53.0,139.79
Andhra Pradesh,Southern,2019,8,2019-08-01,7243.4,53.0,136.67
Andhra Pradesh,Southern,2019,9,2019-09-01,7110.4,53.0,134.16
Andhra Pradesh,Southern,2019,10,2019-10-01,6807.1,53.0,128.44
Andhra Pradesh,Southern,2019,11,2019-11-01,6676.5,53.0,125.97
Andhra Pradesh,Southern,2019,12,2019-12-01,6795.4,53.0,128.22
Andhra Pradesh,Southern,2020,1,2020-01-01,7151.5,53.0,134.93
Andhra Pradesh,Southern,2020,2,2020-02-01,6870.9,53.0,129.64
Andhra Pradesh,Southern,2020,3,2020-03-01,6901.0,53.0,130.21
Andhra Pradesh,Southern,2020,4,2020-04-01,5471.7,53.0,103.24
Andhra Pradesh,Southern,2020,5,2020-05-01,6621.1,53.0,124.93
Andhra Pradesh,Southern,2020,6,2020-06-01,7524.4,53.0,141.97
Andhra Pradesh,Southern,2020,7,2020-07-01,7705.8,53.0,145.39
Andhra Pradesh,Southern,2020,8,2020-08-01,7441.5,53.0,140.41
Andhra Pradesh,Southern,2020,9,2020-09-01,7501.9,53.0,141.55
Andhra Pradesh,Southern,2020,10,2020-10-01,7441.2,53.0,140.4
Andhra Pradesh,Southern,2020,11,2020-11-01,6979.5,53.0,131.69
Andhra Pradesh,Southern,2020,12,2020-12-01,7363.4,53.0,138.93
Assam,Northeastern,2019,1,2019-01-01,1040.9,35.0,29.74
Assam,Northeastern,2019,2,2019-02-01,993.8,35.0,28.39
Assam,Northeastern,2019,3,2019-03-01,1083.5,35.0,30.96
Assam,Northeastern,2019,4,2019-04-01,1147.9,35.0,32.8
Assam,Northeastern,2019,5,2019-05-01,1223.0,35.0,34.94
Assam,Northeastern,2019,6,2019-06-01,1202.1,35.0,34.35
Assam,Northeastern,2019,7,2019-07-01,1150.8,35.0,32.88
Assam,Northeastern,2019,8,2019-08-01,1114.9,35.0,31.85
Assam,Northeastern,2019,9,2019-09-01,1104.8,35.0,31.57
Assam,Northeastern,2019,10,2019-10-01,1100.2,35.0,31.43
Assam,Northeastern,2019,11,2019-11-01,1047.5,35.0,29.93
Assam,Northeastern,2019,12,2019-12-01,1039.9,35.0,29.71
Assam,Northeastern,2020,1,2020-01-01,1103.9,35.0,31.54
Assam,Northeastern,2020,2,2020-02-01,1043.0,35.0,29.8
Assam,Northeastern,2020,3,2020-03-01,1023.6,35.0,29.25
Assam,Northeastern,2020,4,2020-04-01,912.5,35.0,26.07
Assam,Northeastern,2020,5,2020-05-01,1037.8,35.0,29.65
Assam,Northeastern,2020,6,2020-06-01,1178.9,35.0,33.68
Assam,Northeastern,2020,7,2020-07-01,1166.9,35.0,33.34
Assam,Northeastern,2020,8,2020-08-01,1200.7,35.0,34.31
Assam,Northeastern,2020,9,2020-09-01,1181.3,35.0,33.75
Assam,Northeastern,2020,10,2020-10-01,1155.0,35.0,33.0
Assam,Northeastern,2020,11,2020-11-01,1127.9,35.0,32.23
Assam,Northeastern,2020,12,2020-12-01,1106.1,35.0,31.6
Bihar,Eastern,2019,1,2019-01-01,2670.7,124.0,21.54
Bihar,Eastern,2019,2,2019-02-01,2590.9,124.0,20.89
Bihar,Eastern,2019,3,2019-03-01,2816.7,124.0,22.72
Bihar,Eastern,2019,4,2019-04-01,3005.5,124.0,24.24
Bihar,Eastern,2019,5,2019-05-01,3250.4,124.0,26.21
Bihar,Eastern,2019,6,2019-06-01,3150.2,124.0,25.4
Bihar,Eastern,2019,7,2019-07-01,3028.2,124.0,24.42
Bihar,Eastern,2019,8,2019-08-01,2955.8,124.0,23.84
Bihar,Eastern,2019,9,2019-09-01,2889.6,124.0,23.3
Bihar,Eastern,2019,10,2019-10-01,2774.7,124.0,22.38
Bihar,Eastern,2019,11,2019-11-01,2702.4,124.0,21.79
Bihar,Eastern,2019,12,2019-12-01,2786.2,124.0,22.47
Bihar,Eastern,2020,1,2020-01-01,2880.3,124.0,23.23
Bihar,Eastern,2020,2,2020-02-01,2726.0,124.0,21.98
Bihar,Eastern,2020,3,2020-03-01,2799.8,124.0,22.58
Bihar,Eastern,2020,4,2020-04-01,2512.0,124.0,20.26
Bihar,Eastern,2020,5,2020-05-01,2776.6,124.0,22.39
Bihar,Eastern,2020,6,2020-06-01,3163.5,124.0,25.51
Bihar,Eastern,2020,7,2020-07-01,3051.2,124.0,24.61
Bihar,Eastern,2020,8,2020-08-01,3116.8,124.0,25.14
Bihar,Eastern,2020,9,2020-09-01,3062.8,124.0,24.7
Bihar,Eastern,2020,10,2020-10-01,2969.8,124.0,23.95
Bihar,Eastern,2020,11,2020-11-01,2863.6,124.0,23.09
Bihar,Eastern,2020,12,2020-12-01,3014.8,124.0,24.31
Chhattisgarh,Western,2019,1,2019-01-01,4857.5,29.0,167.5
Chhattisgarh,Western,2019,2,2019-02-01,4698.3,29.0,162.01
Chhattisgarh,Western,2019,3,2019-03-01,5096.4,29.0,175.74
Chhattisgarh,Western,2019,4,2019-04-01,5440.8,29.0,187.61
Chhattisgarh,Western,2019,5,2019-05-01,5700.4,29.0,196.57
Chhattisgarh,Western,2019,6,2019-06-01,5683.9,29.0,196.0
Chhattisgarh,Western,2019,7,2019-07-01,5380.2,29.0,185.52
Chhattisgarh,Western,2019,8,2019-08-01,5240.2,29.0,180.7
Chhattisgarh,Western,2019,9,2019-09-01,5187.4,29.0,178.88
Chhattisgarh,Western,2019,10,2019-10-01,5074.6,29.0,174.99
Chhattisgarh,Western,2019,11,2019-11-01,5026.3,29.0,173.32
Chhattisgarh,Western,2019,12,2019-12-01,4952.9,29.0,170.79
Chhattisgarh,Western,2020,1,2020-01-01,5146.0,29.0,177.45
Chhattisgarh,Western,2020,2,2020-02-01,4955.3,29.0,170.87
Chhattisgarh,Western,2020,3,2020-03-01,4637.7,29.0,159.92
Chhattisgarh,Western,2020,4,2020-04-01,3637.8,29.0,125.44
Chhattisgarh,Western,2020,5,2020-05-01,4458.8,29.0,153.75
Chhattisgarh,Western,2020,6,2020-06-01,5557.9,29.0,191.65
Chhattisgarh,Western,2020,7,2020-07-01,5384.4,29.0,185.67
Chhattisgarh,Western,2020,8,2020-08-01,5516.6,29.0,190.23
Chhattisgarh,Western,2020,9,2020-09-01,5570.8,29.0,192.1
Chhattisgarh,Western,2020,10,2020-10-01,5429.4,29.0,187.22
Chhattisgarh,Western,2020,11,2020-11-01,5388.1,29.0,185.8
Chhattisgarh,Western,2020,12,2020-12-01,5532.7,29.0,190.78
Delhi,Northern,2019,1,2019-01-01,3860.7,19.0,203.19
Delhi,Northern,2019,2,2019-02-01,3766.6,19.0,198.24
Delhi,Northern,2019,3,2019-03-01,4086.0,19.0,215.05
Delhi,Northern,2019,4,2019-04-01,4415.4,19.0,232.39
Delhi,Northern,2019,5,2019-05-01,4867.3,19.0,256.17
Delhi,Northern,2019,6,2019-06-01,4490.6,19.0,236.35
Delhi,Northern,2019,7,2019-07-01,4413.0,19.0,232.26
Delhi,Northern,2019,8,2019-08-01,4180.4,19.0,220.02
Delhi,Northern,2019,9,2019-09-01,4170.3,19.0,219.49
Delhi,Northern,2019,10,2019-10-01,4140.5,19.0,217.92
Delhi,Northern,2019,11,2019-11-01,3951.8,19.0,207.99
Delhi,Northern,2019,12,2019-12-01,3925.5,19.0,206.61
Delhi,Northern,2020,1,2020-01-01,4095.9,19.0,215.57
Delhi,Northern,2020,2,2020-02-01,4047.6,19.0,213.03
Delhi,Northern,2020,3,2020-03-01,3987.2,19.0,209.85
Delhi,Northern,2020,4,2020-04-01,3549.2,19.0,186.8
